Strain	Environment	Experiment	Flask	Avg_GR	DFE_mean	Env_GR	Env_DFE_mean	GR_std	GR_max	GR_std_max_excluded	Env_series	DFE_graph
LK5-G01	30_SC5	LK5-G01_30_SC5	1	0.250242576267615	0.0031316787046622584	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC5	LK5-G01_30_SC5	2	0.27787203958907747	0.0031316787046622584	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC5	LK5-G01_30_SC5	3	0.23151344738332247	0.0031316787046622584	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC7	LK5-G01_30_SC7	1	0.213092255833766	-0.005018641339390505	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC7	LK5-G01_30_SC7	2	0.2293502954063535	-0.005018641339390505	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC7	LK5-G01_30_SC7	3	0.1937360493592405	-0.005018641339390505	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	37_SC3	LK5-G01_37_SC3	1	0.22822132029793749	0.008472730045468013	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	37_SC3	LK5-G01_37_SC3	2	0.22790512737278001	0.008472730045468013	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	37_SC5	LK5-G01_37_SC5	1	0.249791281527209	0.007525659027838974	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	37_SC5	LK5-G01_37_SC5	2	0.2531237234898155	0.007525659027838974	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	37_SC7	LK5-G01_37_SC7	1	0.202936571187401	-0.0064876034243544125	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	37_SC7	LK5-G01_37_SC7	2	0.23509003802899547	-0.0064876034243544125	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
